OBJECTID	Id	ORIG_FID	Long	Lat
1	0	0	-56.8272285	-64.319380725539986
2	0	0	-56.8253365	-64.318032380090244
3	0	0	-56.8234634	-64.318037687888932
4	0	0	-56.8231277	-64.316414163382888
5	0	0	-56.8199768	-64.314392446953832
6	0	0	-56.8180771	-64.312502563942132
7	0	0	-56.8183746	-64.311418777454548
8	0	0	-56.8136673	-64.309401292335735
9	0	0	-56.8098907	-64.307245744195711
10	0	0	-56.8061066	-64.304142580415714
11	0	0	-56.8020287	-64.302393771355412
12	0	0	-56.8010750	-64.301042668584273
13	0	0	-56.8023109	-64.300362549991632
14	0	0	-56.8032341	-64.299412540356400
15	0	0	-56.8019714	-64.298333008561428
16	0	0	-56.8010216	-64.297387997358157
17	0	0	-56.8022614	-64.296843245619243
18	0	0	-56.8000565	-64.295224774403778
19	0	0	-56.7991066	-64.294144405339978
20	0	0	-56.8009682	-64.293598022230924
21	0	0	-56.7987747	-64.292656322331368
22	0	0	-56.8006401	-64.292516011005091
23	0	0	-56.7987442	-64.290626008383526
24	0	0	-56.7977982	-64.289681001676854
25	0	0	-56.7949715	-64.288199484618474
26	0	0	-56.7974243	-64.285215203119094
27	0	0	-56.7959480	-64.284136733423452
28	0	0	-56.7948723	-64.281025897527115
29	0	0	-56.7917442	-64.279951219373231
30	0	0	-56.7914200	-64.279275285326094
31	0	0	-56.7889099	-64.277928237598019
32	0	0	-56.7891006	-64.277400376925812
33	0	0	-56.7875519	-64.276755554924875
34	0	0	-56.7865868	-64.275926971752313
35	0	0	-56.7861595	-64.274989631766061
36	0	0	-56.7846527	-64.274127223292680
37	0	0	-56.7854233	-64.273335230836210
38	0	0	-56.7852135	-64.272393331287162
39	0	0	-56.7860298	-64.272115542398296
40	0	0	-56.7863312	-64.271302683871738
41	0	0	-56.7844467	-64.270224689018164
42	0	0	-56.7825546	-64.268469957922207
43	0	0	-56.7797318	-64.266852893246380
44	0	0	-56.7775307	-64.265098890601280
45	0	0	-56.7759438	-64.262801966337634
46	0	0	-56.7740555	-64.261317841245329
47	0	0	-56.7737122	-64.258882518513360
48	0	0	-56.7740021	-64.257122370800744
49	0	0	-56.7717934	-64.254962331446393
50	0	0	-56.7714653	-64.253474404020494
51	0	0	-56.7714424	-64.251850391182586
52	0	0	-56.7695656	-64.250907597707453
53	0	0	-56.7667542	-64.249967028255696
54	0	0	-56.7639465	-64.249432400185071
