OBJECTID	Id	ORIG_FID	Lat	Long
1	0	0	-64.31128749	-56.7431182
2	0	0	-64.30552189	-56.74017867
3	0	0	-64.30144492	-56.73822936
4	0	0	-64.29961201	-56.73452958
5	0	0	-64.29948786	-56.74179169
6	0	0	-64.29796563	-56.74152446
7	0	0	-64.29545344	-56.73600354
8	0	0	-64.29389194	-56.73502518
9	0	0	-64.28881517	-56.73851934
10	0	0	-64.28687531	-56.74045982
11	0	0	-64.28496521	-56.73498527
12	0	0	-64.2821028	-56.7348279
13	0	0	-64.28045451	-56.73026112
14	0	0	-64.27999054	-56.73203142
15	0	0	-64.27793371	-56.73027669
16	0	0	-64.276689	-56.7297788
17	0	0	-64.27537321	-56.73165054
18	0	0	-64.27472134	-56.7297567
19	0	0	-64.27449312	-56.72126508
20	0	0	-64.27117017	-56.71310613
21	0	0	-64.2691468	-56.71132203
22	0	0	-64.26741746	-56.70746405
23	0	0	-64.26493578	-56.70764594
24	0	0	-64.26467284	-56.70364817
25	0	0	-64.26300553	-56.70264546
26	0	0	-64.26309026	-56.70549975
27	0	0	-64.26286065	-56.7075726
28	0	0	-64.26247698	-56.70767239
29	0	0	-64.2621184	-56.70647548
30	0	0	-64.26168811	-56.70735297
31	0	0	-64.26105844	-56.70636081
