PRI_Station,PRI_catalog,New,Set,Family,Genus,Species,Abundance,Latitude,Longitude,Raster,KLB,EXTRA NOTES
4341,uncatalogued,Scleractinia_coral_unidentified_unidentified,Scleractinia,coral,unidentified,unidentified,1,NA,NA,NA,NA,
4341,58485,Gastropod_NA_Demovolutus_sp.,Gastropod,NA,Demovolutus,sp.,1,NA,NA,NA,NA,
4341,58486,Ammonoid_Kossmaticeratidae_Grossouvrites_joharae,Ammonoid,Kossmaticeratidae,Grossouvrites,joharae,2,NA,NA,NA,NA,
4341,58478,Gastropod_Amberleyidae_Amberleya_spinigera,Gastropod,Amberleyidae,Amberleya,spinigera,3,NA,NA,NA,NA,
4341,58481,Bivalve_Veneridae_Dozyia_drygalskiana,Bivalve,Veneridae,Dozyia,drygalskiana,1,NA,NA,NA,NA,
4341,58487,Bivalve_Veneridae_Dozyia_drygalskiana,Bivalve,Veneridae,Dozyia,drygalskiana,5,NA,NA,NA,NA,
4341,58474,Ammonoid_Kossmaticeratidae_Maorites_seymourianus,Ammonoid,Kossmaticeratidae,Maorites,seymourianus,5,NA,NA,NA,NA,
4341,58475,Bivalve_Hiatellidae_Panopea_clausa,Bivalve,Hiatellidae,Panopea,clausa,2,NA,NA,NA,NA,
4341,58476,Bivalve_Gryphaeidae_Pycnodonte_vesicularis,Bivalve,Gryphaeidae,Pycnodonte,vesicularis,1,NA,NA,NA,NA,
4341,58480,Bivalve_Cucullaeidae_Cucullaea_sp.,Bivalve,Cucullaeidae,Cucullaea,sp.,2,NA,NA,NA,NA,
4341,58483,Bivalve_Gryphaeidae_Pycnodonte_vesicularis,Bivalve,Gryphaeidae,Pycnodonte,vesicularis,6,NA,NA,NA,NA,
4341,58484,Gastropod_Naticidae_Eunaticina_arktowskiana,Gastropod,Naticidae,Eunaticina,arktowskiana,3,NA,NA,NA,NA,
4341,58008,Gastropod_Naticidae_Eunaticina_arktowskiana,Gastropod,Naticidae,Eunaticina,arktowskiana,4,NA,NA,NA,NA,
