station,Latitude,Longitude,KLB,Ammonite_Desmoceratidae,Ammonite_Diplomoceratidae,Ammonite_Pachydiscidae,Ammonoid_Gaudryceratidae,Ammonoid_Kossmaticeratidae,Ammonoid_Tetragonitidae,Belemnite_Dimitobelidae,Bivalve_Astartidae,Bivalve_Chamidae,Bivalve_Corbulidae,Bivalve_Cucullaeidae,Bivalve_Entoliidae,Bivalve_Gryphaeidae,Bivalve_Hiatellidae,Bivalve_Lahillidae,Bivalve_Limidae,Bivalve_Limopsidae,Bivalve_Lucinidae,Bivalve_Malletiidae,Bivalve_Mytilidae,Bivalve_Naticidae,Bivalve_Nuculidae,Bivalve_Pbakeveliidae,Bivalve_Periplomatidae,Bivalve_Pholadomyidae,Bivalve_Pinnidae,Bivalve_Pteriidae,Bivalve_Pulvinitidae,Bivalve_Pycnodonte,Bivalve_Solemyidae,Bivalve_Thraciidae,Bivalve_Thyasiridae,Bivalve_Trigoniidae,Bivalve_unidentified,Bivalve_Veneridae,Crinoid_Isselicrinidae,Echinoderm_Cidaridae,Gastropod_Acteonidae,Gastropod_Amberleyidae,Gastropod_Aporrhaidae,Gastropod_Buccinidae,Gastropod_Cassidae,Gastropod_Cerithiidae,Gastropod_Fasciolariidae,Gastropod_Gordenellidae,Gastropod_Nassariidae,Gastropod_Naticidae,Gastropod_Perissityidae,Gastropod_Pleurotomariidae,Gastropod_problem,Gastropod_Taiomidae,Gastropod_Turritellidae,Gastropod_Vanikoridae,Lobster_Nephropidae,Nautilus_Eutrephoceratidae,Octocoral_Waiparaconidae,Polychaetes_Serpulidae,Scaphopod_Dentaliidae,Scaphopod_Solemyidae,Scleractinia_Flabellidae,Scleractinia_Fungiacyathidae,Scleractinia_Turbinoliidae,Sharks_Hexanchidae,Sharks_unidentified
4392,-64.30626,-56.73564,10,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4444,-64.30574,-56.74076,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4369,-64.25139,-56.80307,5,0,0,2,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
4510,-64.271,-56.80799,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4512,-64.2611,-56.7988,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4513,-64.2584,-56.7971,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4368,-64.25263,-56.79125,6,0,0,1,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,118,1,0,0,1,0,0,0
4616,-64.26022,-56.79432,6,1,0,0,0,1,0,0,0,0,0,16,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,5,1,0,21,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
5015,-64.25756,-56.7919,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5025,-64.31851,-56.83896,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
