station,klb
4353,7
4628,7
4372,7
5020,7
4571,7
5018,7
4625,7
4342,7
4528,7
4634,7
4589,7
4624,7
4508,7
4626,7
5000,7
5003,7
5002,7
4992,7
4990,7
4991,7
4615,7
4409,7
4623,7
4661,7
5036,7
5037,7
5039,7
5040,7
5041,7
5019,7
4619,7
4470,
4630,7
5001,7
4514,7
4620,7
5442,7
4507,7
5068,7
4369,5
4513,5
4512,5
4510,5
5038,6
5015,6
4616,6
5060,6
5074,6
5028,6
5033,6
5025,6
4999,7
4380,8
5024,8
4381,8
5023,8
4652,8
5440,8
4568,8
4357,8
4565,8
4566,8
4569,8
4530,8
4577,8
4618,8
4578,8
4376,8
4468,8
4563,8
4562,8
4561,8
4432,8
4494,8
4558,8
4557,8
4390,8
4431,8
4452,8
4406,8
5445,8
4622,8
4631,8
5044,8
5043,8
4590,4
5005,7
4515,9
4579,9
4391,9
4343,9
4375,9
4364,9
4345,9
4377,9
4378,9
4474,9
4374,9
4531,9
5027,9
4575,9
5029,9
4546,9
4532,9
4596,9
4529,9
4555,9
4597,9
4649,9
4347,9
4993,9
4517,9
4413,9
4362,9
4361,9
4360,9
4994,9
4995,9
4636,9
4519,9
4518,9
4543,9
4573,9
4370,9
4541,9
4533,9
4540,9
4499,9
5092,9
5093,9
5030,9
5826,9
5081,9
5080,9
5086,9
5088,9
5075,9
5064,9
5007,9
5008,9
5009,9
5012,9
4667,9
4747,9
4738,9
4739,9
4740,9
4741,9
5120,9
4730,9
5114,9
4736,9
5119,9
5031,9
4678,9
5094,9
4665,9
5141,9
4731,9
5098,9
4671,9
5095,9
5101,9
5078,9
5079,9
4751,9
5091,9
5089,9
5103,9
5106,9
5105,9
5104,9
5107,9
4734,9
5097,9
5099,9
5100,9
5102,9
5090,9
5096,9
5077,9
5082,9
5083,9
5084,9
5085,9
5062,9
4672,9
5110,9
5109,9
4737,9
5111,9
4748,9
5118,9
5087,9
5011,9
4746,9
4749,9
4735,9
4485,9
4585,9
4486,9
4483,9
4516,9
4639,9
4498,9
4465,9
4455,9
4451,9
4638,9
4472,9
4534,9
4640,9
4598,9
4599,9
4580,9
4536,9
4537,9
4538,9
5034,9
4600,9
4539,9
4602,9
4386,9
4493,9
4492,9
4478,9
4491,9
4629,9
4477,9
4742,9
4729,9
4490,9
4489,9
4427,9
4418,9
4423,9
4425,9
4430,9
4419,9
4442,9
4420,9
4441,9
4449,9
4438,9
4422,9
4415,9
4424,9
4646,9
4421,9
4469,9
4429,9
5444,9
4439,9
4637,9
4443,9
4450,9
4732,9
4645,9
4428,9
4426,9
4497,9
4411,9
4500,9
4502,9
4501,9
4410,9
4614,9
4445,9
4440,9
4586,9
4752,9
5047,9
5046,9
5045,9
4584,9
4641,9
4633,9
4456,9
4617,9
4393,9
4504,9
4368,6
4481,9
5004,7
4484,9
4621,9
4466,9
4567,8
5017,7
5061,6
4488,9
4417,9
4503,9
5443,6
5016,7
4366,9
4367,9
4609,8
4371,9
4570,8
4595,9
4574,9
4644,9
4448,9
4487,9
4482,9
4457,9
4509,7
5441,7
5035,9
4601,9
4560,8
4464,8
4435,9
4453,8
4389,8
5073,6
4447,9
4591,9
4996,10
5006,8
4444,10
4392,10
5116,7
4344,7
4511,unknown
